iter	RMSE
0	350253.7029
1	335864.0359
2	322564.5752
3	310425.9894
4	299303.8457
5	288702.0422
6	278731.5067
7	269448.4801
8	260652.7609
9	252904.5871
10	245596.3765
11	238298.9716
12	231788.5266
13	225632.3404
14	219399.0733
15	214332.8289
16	209060.3637
17	204476.1482
18	200492.537
19	196538.8876
20	192832.5157
21	188427.6237
22	184673.0298
23	181116.5628
24	177550.5282
25	174849.2464
26	171919.3332
27	169547.8298
28	167234.5683
29	164596.8922
30	162584.777
31	160599.3015
32	158147.8062
33	156103.9477
34	154387.9256
35	152718.2511
36	151255.592
37	150083.2542
38	148666.4823
39	147384.8381
40	146273.4575
41	145071.0465
42	143862.7026
43	142282.6791
44	141241.1398
45	140363.8932
46	139530.4564
47	138922.4928
48	138130.4438
49	137152.124
50	136481.063
51	135810.8204
52	135151.7321
53	134661.3103
54	133540.2176
55	133022.3392
56	132391.5428
57	131819.871
58	131285.7958
59	130771.6448
60	130385.8269
61	130017.4171
62	129553.1206
63	128745.0346
64	128130.3632
65	127675.4321
66	127234.2379
67	126925.1954
68	126480.7692
69	125861.1191
70	125481.3136
71	125110.6715
72	124412.6536
73	123858.7895
74	123578.3384
75	123277.7487
76	122795.6833
77	122522.6269
78	122205.593
79	121892.1889
80	121580.8565
81	121104.1442
82	120838.2627
83	120485.8249
84	120046.6762
85	119755.1491
86	119642.7573
87	119379.9845
88	119093.8198
89	118800.2237
90	118200.8821
91	117913.3853
92	117696.2994
93	117212.214
94	116864.2197
95	116642.5654
96	116511.7607
97	116272.2492
98	116139.6078
99	115941.4793
100	115831.7209
101	115571.329
102	115425.3442
103	115053.511
104	114833.386
105	114601.7979
106	114402.7157
107	114192.8147
108	113990.0844
109	113849.6526
110	113468.0688
111	113314.3258
112	113187.548
113	112950.4353
114	112816.4311
115	112681.1867
116	112477.4884
117	112287.8246
118	112150.4109
119	111974.7959
120	111680.4919
121	111502.2614
122	111358.7231
123	111159.7265
124	111031.402
125	110894.0868
126	110725.609
127	110615.6132
128	110480.8058
129	110338.8105
130	110256.8441
131	109990.0083
132	109796.2672
133	109659.7532
134	109510.2877
135	109394.1645
136	109229.3049
137	108911.8159
138	108732.6391
139	108625.7357
140	108369.3866
141	108249.0956
142	107900.7164
143	107805.7612
144	107669.2651
145	107552.2418
146	107461.2894
147	107293.547
148	107203.8447
149	107072.4247
150	107009.0963
151	106923.5017
152	106784.6213
153	106678.668
154	106485.1849
155	106351.1195
156	106251.1826
157	106049.5163
158	105917.5279
159	105793.2331
160	105663.2556
161	105572.8448
162	105443.5823
163	105206.7595
164	105058.0181
165	104956.5952
166	104785.2517
167	104647.1345
168	104530.9268
169	104401.6697
170	104311.4843
171	104182.1377
172	104099.7891
173	103980.5097
174	103867.0418
175	103756.542
176	103651.7586
177	103565.6231
