iter	Passed	Remaining
0	6	6165
1	12	6192
2	18	6016
3	23	5888
4	31	6262
5	36	6125
6	43	6103
7	48	5959
8	53	5876
9	59	5896
10	64	5812
11	70	5791
12	76	5776
13	80	5649
14	84	5518
15	89	5480
16	93	5405
17	98	5393
18	103	5321
19	108	5325
20	112	5236
21	116	5194
22	120	5139
23	126	5129
24	130	5076
25	134	5052
26	139	5037
27	143	4990
28	147	4955
29	153	4968
30	158	4959
31	164	4975
32	169	4961
33	176	5021
34	181	4992
35	187	5021
36	192	5022
37	196	4986
38	203	5013
39	207	4978
40	211	4942
41	215	4906
42	220	4910
43	225	4892
44	228	4856
45	233	4846
46	241	4895
47	245	4866
48	250	4855
49	254	4828
50	257	4796
51	261	4774
52	265	4743
53	272	4779
54	280	4814
55	285	4817
56	290	4809
57	294	4787
58	299	4774
59	304	4763
60	309	4771
61	314	4755
62	319	4756
63	323	4732
64	327	4710
65	331	4696
66	335	4672
67	340	4660
68	345	4655
69	350	4655
70	354	4637
71	359	4627
72	363	4611
73	367	4598
74	371	4575
75	374	4557
76	381	4569
77	387	4579
78	392	4571
79	397	4570
80	401	4549
81	404	4533
82	408	4514
83	413	4507
84	417	4495
85	421	4478
86	425	4467
87	431	4467
88	435	4456
89	439	4438
90	442	4423
91	447	4417
92	452	4413
93	457	4411
94	462	4405
95	467	4402
96	471	4386
97	475	4376
98	480	4372
99	486	4375
100	490	4369
101	496	4369
102	500	4361
103	505	4351
104	509	4344
105	513	4334
106	517	4319
107	521	4307
108	527	4313
109	533	4316
110	540	4325
111	544	4316
112	548	4303
113	552	4293
114	557	4291
115	561	4282
116	566	4273
117	572	4276
118	576	4267
119	582	4268
120	586	4259
121	591	4259
122	596	4252
123	601	4247
124	606	4244
125	610	4236
126	614	4221
127	619	4221
128	624	4214
129	628	4204
130	631	4191
131	638	4196
132	642	4190
133	647	4183
134	651	4173
135	656	4171
136	660	4161
137	664	4152
138	669	4145
139	673	4137
140	677	4129
141	681	4118
142	687	4118
143	691	4108
144	694	4097
145	698	4088
146	703	4081
147	708	4080
148	712	4068
149	716	4060
150	721	4056
151	725	4047
152	729	4035
153	732	4023
154	740	4038
155	746	4037
156	750	4030
157	755	4028
158	759	4017
159	763	4008
160	768	4004
161	772	3994
162	776	3986
163	780	3976
164	786	3980
165	790	3969
166	794	3961
167	798	3953
168	804	3956
169	809	3951
170	816	3959
171	822	3957
172	825	3948
173	829	3938
174	834	3936
175	838	3926
176	844	3925
177	849	3923
178	854	3918
179	858	3911
180	862	3904
181	867	3897
182	871	3889
183	874	3879
184	878	3869
185	883	3867
186	887	3858
187	891	3850
188	895	3841
189	900	3838
190	904	3830
191	908	3821
192	913	3819
193	917	3812
194	922	3808
195	928	3810
196	933	3806
197	938	3799
198	943	3798
199	949	3796
200	953	3788
201	956	3779
202	963	3784
203	969	3783
204	973	3775
205	979	3775
206	983	3767
207	987	3760
208	991	3752
209	996	3750
210	1000	3742
211	1004	3735
212	1010	3732
213	1013	3723
214	1017	3716
215	1022	3710
216	1027	3707
217	1031	3699
218	1035	3693
219	1039	3685
220	1044	3682
221	1049	3676
222	1052	3668
223	1057	3664
224	1061	3657
225	1066	3652
226	1070	3645
227	1075	3642
228	1079	3634
229	1083	3628
230	1087	3620
231	1092	3616
232	1096	3611
233	1100	3603
234	1105	3598
235	1110	3595
236	1114	3588
237	1118	3580
238	1123	3577
239	1127	3570
240	1131	3562
241	1135	3555
242	1140	3552
243	1144	3546
244	1148	3538
245	1152	3532
246	1157	3529
247	1162	3524
248	1166	3517
249	1170	3512
250	1175	3508
251	1179	3501
252	1183	3495
253	1188	3490
254	1192	3484
255	1196	3476
256	1200	3471
257	1205	3466
258	1209	3461
259	1213	3454
260	1217	3447
261	1222	3443
262	1226	3435
263	1230	3431
264	1235	3426
265	1240	3421
266	1243	3414
267	1248	3409
268	1253	3405
269	1257	3398
270	1261	3394
271	1265	3388
272	1271	3385
273	1275	3378
274	1279	3373
275	1283	3367
276	1288	3362
277	1292	3356
278	1296	3349
279	1301	3346
280	1305	3340
281	1309	3335
282	1313	3328
283	1319	3326
284	1323	3320
285	1328	3315
286	1332	3310
287	1337	3306
288	1341	3299
289	1345	3293
290	1350	3289
291	1354	3283
292	1358	3277
293	1361	3270
294	1367	3267
295	1371	3261
296	1375	3255
297	1379	3249
298	1384	3245
299	1388	3239
300	1392	3233
301	1397	3230
302	1401	3224
303	1405	3218
304	1410	3213
305	1416	3211
306	1420	3205
307	1424	3200
308	1428	3194
309	1433	3190
310	1436	3183
311	1440	3176
312	1446	3174
313	1449	3167
314	1453	3161
315	1458	3156
316	1464	3154
317	1468	3148
318	1472	3143
319	1476	3137
320	1481	3133
321	1485	3127
322	1489	3121
323	1494	3118
324	1498	3112
325	1503	3107
326	1506	3101
327	1512	3097
328	1515	3091
329	1520	3086
330	1523	3080
331	1530	3079
332	1534	3073
333	1539	3069
334	1544	3065
335	1548	3060
336	1552	3054
337	1556	3048
338	1561	3044
339	1566	3040
340	1570	3034
341	1574	3029
342	1579	3025
343	1583	3019
344	1587	3014
345	1593	3011
346	1596	3005
347	1600	2999
348	1604	2993
349	1610	2990
350	1613	2984
351	1618	2979
352	1622	2973
353	1628	2971
354	1631	2964
355	1635	2959
356	1640	2955
357	1644	2949
358	1648	2944
359	1654	2941
360	1659	2937
361	1663	2931
362	1667	2926
363	1672	2922
364	1677	2917
365	1680	2911
366	1686	2909
367	1691	2904
368	1695	2899
369	1699	2893
370	1705	2891
371	1709	2886
372	1714	2882
373	1719	2878
374	1724	2874
375	1728	2868
376	1732	2862
377	1737	2858
378	1741	2853
379	1747	2850
380	1752	2846
381	1756	2841
382	1760	2836
383	1764	2830
384	1769	2826
385	1773	2821
386	1777	2816
387	1782	2811
388	1786	2806
389	1791	2802
390	1795	2796
391	1799	2791
392	1804	2787
393	1808	2782
394	1812	2776
395	1817	2772
396	1822	2767
397	1826	2762
398	1830	2757
399	1835	2753
400	1840	2749
401	1844	2743
402	1848	2738
403	1853	2734
404	1857	2728
405	1861	2722
406	1865	2718
407	1870	2713
408	1874	2708
409	1878	2703
410	1884	2700
411	1889	2696
412	1893	2691
413	1899	2689
414	1904	2684
415	1909	2680
416	1915	2677
417	1921	2675
418	1927	2672
419	1932	2668
420	1938	2665
421	1942	2660
422	1947	2656
423	1951	2650
424	1955	2645
425	1960	2641
426	1965	2637
427	1969	2632
428	1974	2628
429	1979	2624
430	1983	2618
431	1987	2613
432	1991	2608
433	1996	2604
434	2001	2599
435	2006	2594
436	2010	2590
437	2015	2586
438	2019	2581
439	2024	2576
440	2029	2572
441	2033	2566
442	2037	2561
443	2041	2556
444	2047	2553
445	2051	2548
446	2058	2547
447	2063	2542
448	2067	2537
449	2071	2532
450	2076	2528
451	2081	2523
452	2085	2518
453	2095	2519
454	2100	2515
455	2105	2511
456	2111	2508
457	2115	2503
458	2122	2501
459	2132	2502
460	2137	2499
461	2143	2496
462	2147	2490
463	2151	2485
464	2156	2481
465	2162	2478
466	2167	2473
467	2172	2469
468	2176	2464
469	2180	2459
470	2185	2454
471	2191	2451
472	2195	2445
473	2199	2440
474	2203	2435
475	2208	2430
476	2211	2425
477	2215	2419
478	2220	2414
479	2224	2409
480	2230	2406
481	2234	2401
482	2240	2398
483	2246	2394
484	2250	2389
485	2255	2385
486	2259	2380
487	2264	2375
488	2271	2374
489	2276	2369
490	2280	2364
491	2284	2358
492	2289	2354
493	2292	2348
494	2298	2344
495	2305	2343
496	2310	2338
497	2314	2332
498	2318	2328
499	2322	2322
500	2326	2317
501	2330	2312
502	2337	2309
503	2341	2304
504	2346	2299
505	2351	2295
506	2357	2291
507	2360	2286
508	2365	2281
509	2369	2276
510	2373	2271
511	2377	2265
512	2381	2261
513	2385	2255
514	2389	2250
515	2393	2244
516	2398	2240
517	2402	2235
518	2406	2230
519	2410	2224
520	2415	2221
521	2419	2215
522	2424	2210
523	2428	2205
524	2433	2201
525	2437	2196
526	2441	2191
527	2445	2186
528	2451	2182
